證券代號,證券名稱,產業別
0636,063696　盟立永豐47購02,
0636,063697　陽明永豐4C購01,
0636,063698　景碩永豐49購02,
0636,063699　緯創永豐4C購02,
0636,06369P　晟銘電國票47售02,
0637,063700　世芯永豐54購01,
0637,063701　精銳永豐49購01,
0637,063702　中磊永豐4C購01,
0637,063703　啟�皏藕�4C購01,
0637,063705　緯穎永豐48購05,
0637,063706　矽創永豐48購01,
0637,063707　南茂永豐47購01,
0637,063708　宇隆統一56購01,
0637,063709　昆盈統一54購01,
0637,06370P　晟銘電國票48售01,
0637,063710　昆盈統一54購02,
0637,063711　長榮統一4C購04,
0637,063712　長榮統一5C購01,
0637,063713　精銳統一52購02,
0637,063714　中磊統一4C購01,
0637,063715　啟�眵峇@4C購01,
0637,063716　啟�眵峇@54購01,
0637,063717　S&P正2中信49購01,
0637,06371P　世芯國票49售02,
0637,063720　鴻海中信47購02,
0637,063721　智邦中信47購01,
0637,063722　京元電中信47購01,
0637,063725　世芯中信4A購01,
0637,063726　中磊中信47購01,
0637,063727　聯茂中信48購01,
0637,063728　矽力中信49購01,
0637,063729　元黃金國票4C購02,
0637,06372P　精銳國票47售06,
0637,063730　道瓊反國票48購01,
0637,063731　道瓊銅國票4C購01,
0637,063734　南亞國票47購01,
0637,063735　台玻國票47購02,
0637,063736　鴻海國票48購03,
0637,063737　鴻準國票48購03,
0637,063739　威盛國票47購03,
0637,06373P　晟銘電永豐47售01,
0637,063740　南亞科國票47購04,
0637,063742　興富發國票47購02,
0637,063743　陽明國票47購03,
0637,063744　陽明國票48購02,
0637,063745　元大金國票47購01,
0637,063746　奇鋐國票47購02,
0637,063748　建漢國票47購03,
0637,063749　瑞鼎國票47購01,
0637,06374P　精銳永豐48售01,
0637,063750　鈞興國票4A購01,
0637,063751　中磊國票49購01,
0637,063752　聯茂國票47購02,
0637,063753　啟�眥窶�49購01,
0637,063754　台塑化國票47購02,
0637,063755　波力國票47購01,
0637,063757　泰金寶國票48購02,
0637,063759　元債2X元富5C購03,
0637,06375P　材料永豐47售03,
0637,063760　元日2X元富5C購01,
0637,063763　直得元富49購01,
0637,063766　台積電元富47購13,
0637,063767　台積電元富4C購02,
0637,063768　友訊元富4C購01,
0637,06376P　台灣50富邦49售02,
0637,063771　仲琦元富49購01,
0637,063775　瑞鼎元富49購01,
0637,063777　鈞興元富4C購01,
0637,063781　精銳元富4C購01,
0637,06378P　臺股指元富4B售03,
0637,063790　中砂國泰48購02,
0637,063791　美時國泰48購02,
0637,063792　漢翔國泰48購01,
0637,063793　臻鼎國泰48購01,
0637,063794　采鈺國泰48購01,
0637,063795　FBNQ2X凱基4C購01,
0637,063796　道瓊2X凱基48購01,
0637,063797　台塑凱基49購01,
0637,06379P　臺股指元富4B售04,
0638,063802　台積電凱基4C購07,
0638,063807　南亞科凱基47購02,
0638,063808　京元電凱基48購01,
0638,06381P　台積電凱基4C售09,
0638,063820　緯穎凱基48購06,
0638,063825　臺股指凱基49購25,
0638,063826　臺股指凱基4B購11,
0638,063827　FBNQ2X群益48購01,
0638,063832　上銀群益48購03,
0638,063834　宇隆群益48購01,
0638,063836　鴻海群益47購10,
0638,063839　台積電群益47購21,
0638,063840　台積電群益5C購03,
0638,063841　台積電群益5C購04,
0638,063843　群光群益47購01,
0638,063845　盟立群益47購01,
0638,063846　盟立群益48購01,
0638,063847　瑞軒群益47購01,
0638,063849　華晶科群益48購01,
0638,063851　世芯群益4B購01,
0638,063852　世芯群益4C購06,
0638,063853　東台群益48購01,
0638,063855　鈞興群益47購02,
0638,063856　鈞興群益48購01,
0638,063857　精銳群益48購02,
0638,063858　材料群益47購04,
0638,063859　中磊群益49購01,
0638,063861　緯穎群益48購10,
0638,063862　巨大群益47購01,
0638,063864　A50正2元大48購01,
0638,063865　群臺2X元大48購01,
0638,063866　台塑元大4A購01,
0638,063882　陽明元大47購10,
0638,063886　智原元大4A購02,
0638,063892　群創元大47購03,
0638,063899　晶碩元大4A購01,
0638,06389P　臺股指元大49售20,
0639,063900　達發元大4B購01,
0639,063909　聯電統一4C購01,
0639,063910　國巨統一4C購01,
0639,063911　金像電統一4C購02,
0639,063912　台光電統一4C購03,
0639,063913　采鈺統一4C購01,
0639,063915　臺指反中信4C購02,
0639,063916　上銀中信48購01,
0639,063917　鴻海中信4C購02,
0639,063918　世芯中信47購03,
0639,063919　材料中信49購02,
0639,063920　上証2X國票47購03,
0639,063921　元債2X國票47購01,
0639,063924　美債2X國票47購02,
0639,063925　元金2X國票48購01,
0639,063926　道瓊銀國票4A購01,
0639,063927　直得國票48購01,
0639,063928　上銀國票47購03,
0639,063930　台積電國票47購03,
0639,063931　台積電國票47購04,
0639,063932　台積電國票4C購01,
0639,063933　友訊國票47購03,
0639,063935　昆盈國票47購01,
0639,063936　凌陽國票47購01,
0639,063937　盟立國票47購01,
0639,063938　志聖國票47購02,
0639,06393P　智邦群益4A售02,
0639,063941　晟銘電國票47購01,
0639,063942　智原國票48購01,
0639,063943　華晶科國票47購02,
0639,063944　精銳國票47購05,
0639,063946　矽力國票47購02,
0639,063947　洋基國票47購03,
0639,063948　南電國票48購01,
0639,063950　上銀永豐4A購01,
0639,063951　英業達永豐4C購01,
0639,063952　華碩永豐47購02,
0639,063953　威盛永豐4C購01,
0639,063954　友達永豐4C購01,
0639,063955　盟立永豐48購01,
0639,063956　晟銘電永豐47購02,
0639,063957　晟銘電永豐48購01,
0639,063958　晟銘電永豐49購01,
0639,063960　聯詠永豐4A購01,
0639,063961　晶睿永豐47購01,
0639,063962　群創永豐4C購01,
0639,063963　世芯永豐56購01,
0639,063965　矽力永豐48購01,
0639,063966　南電永豐48購01,
0639,063967　世紀鋼永豐4C購01,
0639,063968　中興電富邦49購01,
0639,063969　美時富邦48購02,
0639,063970　川湖富邦49購01,
0639,063971　華碩富邦48購02,
0639,063972　華新科富邦48購01,
0639,063973　晟銘電富邦48購01,
0639,063974　碩天富邦48購01,
0639,063975　碩天富邦4A購01,
0639,063976　致新富邦48購01,
0639,063977　致新富邦4A購01,
0639,063978　上銀兆豐4C購01,
0639,063979　群創兆豐48購01,
0639,06397P　臺股指富邦47售12,
0639,063980　美利達兆豐4C購01,
0639,063981　T50反1元富4C購04,
0639,063986　華碩元富4C購01,
0639,063989　金像電元富49購01,
0639,06398P　臺股指富邦48售08,
0639,063990　美律元富4C購01,
0639,063991　聯發科元富49購01,
0639,063995　智易元富4C購01,
0639,063996　啟�痐葩I4C購01,
0639,063998　達發元富4C購01,
0639,063999　臺股指元富4B購02,
0640,064000　士電第一47購01,
0640,064006　元債2X國泰48購01,
0640,064007　台塑國泰48購02,
0640,064008　上銀國泰48購01,
0640,064009　台光電國泰48購01,
0640,064010　一詮國泰48購01,
0640,064011　陽明國泰48購01,
0640,064012　嘉澤國泰48購03,
0640,064013　緯穎國泰48購02,
0640,064014　元債2X凱基5C購02,
0640,064015　群臺2X凱基48購01,
0640,064017　上銀凱基4A購02,
0640,064018　國巨凱基47購01,
0640,064019　台積電凱基48購05,
0640,064020　台積電凱基4C購08,
0640,064021　鴻準凱基48購01,
0640,064022　群光凱基47購01,
0640,064023　盟立凱基48購01,
0640,064024　瑞軒凱基47購01,
0640,064032　群創凱基47購01,
0640,064033　精銳凱基47購01,
0640,064034　東科凱基48購01,
0640,064035　中磊凱基49購01,
0640,064037　達發凱基49購01,
0640,064038　南茂凱基47購01,
0640,064039　巨大凱基47購01,
0640,064040　道瓊銅元大4A購01,
0640,064041　道瓊2X元大49購01,
0640,06404P　景碩國票47售07,
0640,064065　晟銘電元大47購01,
0640,064067　智原元大4A購03,
0640,064072　緯創元大48購03,
0640,064073　緯創元大4B購01,
0640,064078　群創元大48購01,
0640,06407P　盟立永豐47售03,
0640,064090　臺股指元大49購19,
0640,064092　臺指反群益52購01,
0640,064093　FBNQ2X群益48購02,
0640,064097　華新群益49購01,
0640,064099　上銀群益48購04,
0641,064101　宇隆群益48購02,
0641,064103　台積電群益47購22,
0641,064104　台積電群益47購23,
0641,064107　英業達群益48購01,
0641,064111　友達群益47購01,
0641,064115　盟立群益4C購01,
0641,064116　鉅祥群益48購01,
0641,064118　陽明群益4C購02,
0641,064119　陽明群益4C購03,
0641,064121　長榮航群益47購07,
0641,064125　華晶科群益48購02,
0641,06412P　友訊群益4C售01,
0641,064130　精銳群益4A購01,
0641,064132　祥碩群益47購01,
0641,064133　彩晶群益47購01,
0641,064138　緯穎群益48購11,
0641,064139　矽創群益4C購01,
0641,064140　宏全群益47購01,
0641,064141　潤泰新群益47購01,
0641,064142　台化富邦48購01,
0641,064143　英業達富邦48購02,
0641,064144　微星富邦48購01,
0641,064145　可成富邦48購01,
0641,064146　新興富邦48購01,
0641,064147　元大金富邦48購01,
0641,064148　緯創富邦47購02,
0641,064150　群創富邦48購01,
0641,064151　中磊富邦48購01,
0641,064152　晶碩富邦48購01,
0641,064153　臺股指富邦49購07,
0641,064157　南電第一48購01,
0641,064159　國巨兆豐47購01,
0641,064160　大同兆豐47購01,
0641,064161　可成兆豐48購01,
0641,064162　富邦金兆豐48購01,
0641,064163　訊芯兆豐48購01,
0641,064164　帝寶兆豐48購01,
0641,064166　上銀元富4C購02,
0641,064167　上銀元富4C購03,
0641,064168　廣宇元富4C購01,
0641,064173　台積電元富4C購03,
0641,064177　上銀統一4B購01,
0641,064178　上銀統一54購02,
0641,064179　長榮航統一4C購02,
0641,064180　晟銘電統一58購01,
0641,064181　嘉晶統一54購01,
0641,064182　上証2X中信4C購01,
0641,064183　美時中信49購01,
0641,064186　大同中信4A購01,
0641,064187　長榮中信48購01,
0641,064188　慧洋中信49購01,
0641,064189　穎崴中信49購02,
0641,06418P　台積電凱基4A售15,
0641,064190　臺股指中信4B購05,
0641,064191　臺股指中信4B購06,
0641,064192　S&P正2國票4C購01,
0641,064193　道瓊銅國票53購01,
0641,064194　上銀國票47購04,
0641,064195　宇隆國票47購03,
0641,064196　宇隆國票47購04,
0641,064197　華邦電國票47購04,
0641,064199　海悅國票47購01,
0642,064200　昆盈國票47購02,
0642,064201　昆盈國票48購01,
0642,064202　盟立國票47購02,
0642,064203　世芯國票49購03,
0642,064204　穎崴國票47購02,
0642,064205　國喬永豐47購01,
0642,064206　東鹼永豐47購01,
0642,064207　上銀永豐49購01,
0642,064208　聯電永豐4C購01,
0642,064209　海悅永豐48購01,
0642,064210　愛山林永豐49購01,
0642,064211　潤弘永豐47購01,
0642,064212　長榮永豐48購02,
0642,064213　台航永豐49購01,
0642,064214　嘉晶永豐47購01,
0642,064215　文曄永豐48購01,
0642,064216　世芯永豐4B購04,
0642,064217　日月光永豐4C購01,
0642,064218　台耀永豐47購01,
0642,064219　亞翔永豐48購01,
0642,064221　瑞祺永豐47購01,
0642,064222　元晶永豐48購01,
0642,064223　訊芯永豐4C購01,
0642,064224　致新永豐48購01,
0642,064225　東哥永豐47購01,
0642,064226　台灣50國泰47購01,
0642,064227　中砂國泰47購01,
0642,064228　鴻海國泰47購02,
0642,064229　威盛國泰47購02,
0642,06422P　臺股指凱基49售26,
0642,064230　玉晶光國泰47購01,
0642,064231　貿聯國泰47購01,
0642,064232　世紀鋼國泰47購02,
0642,064233　元債2X群益4C購05,
0642,064234　台塑群益49購01,
0642,064237　上銀群益4C購01,
0642,064238　宇隆群益48購03,
0642,064239　宇隆群益49購02,
0642,064242　旺宏群益47購02,
0642,064248　華晶科群益48購03,
0642,064252　嘉澤群益47購06,
0642,064254　世芯群益4C購07,
0642,064258　泰金寶群益4A購01,
0642,06425P　士電永豐47售01,
0642,064260　T50反1元大4A購01,
0642,064261　T50反1元大4A購02,
0642,064262　T50反1元大4B購01,
0642,064263　T50反1元大4C購01,
0642,064265　FANG+元大47購01,
0642,064266　未來車元大47購01,
0642,064268　上銀元大49購02,
0642,06426P　世芯永豐48售08,
0642,064271　宇隆元大48購01,
0642,064272　宇隆元大48購02,
0642,064275　鴻海元大48購02,
0642,064278　台積電元大48購10,
0642,06427P　T50反1元富4C售05,
0642,064284　聯發科元大49購01,
0642,064285　聯發科元大4B購02,
0642,064286　聯發科元大4C購01,
0642,06428P　上銀富邦48售02,
0642,064293　智原元大4B購02,
0643,064303　神達元大4A購01,
0643,064309　達發元大48購03,
0643,06430P　台積電凱基4C售11,
0643,064311　緯穎元大47購01,
0643,064315　世芯台新48購01,
0643,064316　臺指反凱基51購01,
0643,064317　元債2X凱基47購03,
0643,064318　美債2X凱基47購02,
0643,064319　台塑凱基49購02,
0643,06431P　晟銘電凱基47售04,
0643,064322　上銀凱基48購01,
0643,064323　上銀凱基48購02,
0643,064324　上銀凱基49購02,
0643,064326　台積電凱基4C購10,
0643,064327　友訊凱基4C購01,
0643,06432P　神達凱基47售04,
0643,064331　昆盈凱基4A購01,
0643,064333　盟立凱基47購02,
0643,064339　奇鋐凱基47購02,
0643,064340　智原凱基4A購01,
0643,064341　欣興凱基47購02,
0643,064342　世芯凱基48購08,
0643,064343　彩晶凱基47購01,
0643,064344　凌華凱基48購01,
0643,064345　南電凱基48購01,
0643,064346　泰金寶凱基48購01,
0643,064347　宏全凱基47購01,
0643,064348　潤泰新凱基47購01,
0643,064350　臺股指凱基49購27,
0643,064351　上銀中信47購01,
0643,064352　上銀中信48購02,
0643,064353　景碩中信48購01,
0643,064354　世芯中信47購04,
0643,064355　盟立國票48購01,
0643,064356　盟立國票49購01,
0643,064357　穎崴國票48購02,
0643,064358　士電永豐48購01,
0643,064359　和大永豐48購01,
0643,064360　華榮永豐47購01,
0643,064361　第一銅永豐49購01,
0643,064362　新光鋼永豐49購01,
0643,064364　廣宇永豐47購01,
0643,064365　台積電永豐48購05,
0643,064366　友訊永豐48購01,
0643,064367　興勤永豐49購01,
0643,064368　聯發科永豐48購02,
0643,064369　國建永豐49購01,
0643,064370　皇昌永豐49購01,
0643,064371　漢唐兆豐4C購01,
0643,064373　道瓊銀元富4C購01,
0643,064374　FANG+元富4C購01,
0643,064377　台塑元富4C購03,
0643,064381　大成鋼富邦48購02,
0643,064382　鴻海富邦4A購02,
0643,064383　台積電富邦4A購01,
0643,064384　南亞科富邦49購01,
0643,064385　京元電富邦48購02,
0643,064386　聯發科富邦4A購02,
0643,064387　萬海富邦47購02,
0643,064388　神達富邦4A購01,
0643,064389　臻鼎富邦49購01,
0643,06438P　臺股指元大48售17,
0643,064390　啟�硒I邦48購02,
0643,064391　緯穎富邦47購03,
0643,064393　中華國泰47購01,
0643,064394　鴻海國泰47購03,
0643,064395　廣宇國泰47購02,
0643,064396　聯發科國泰4C購01,
0643,064397　全新國泰47購01,
0643,064398　緯創國泰47購01,
0643,064399　群創國泰47購02,
0643,06439P　臺股指元大48售18,
0644,064400　聯茂國泰47購01,
0644,064404　盟立統一4C購01,
0644,064405　神達統一56購01,
0644,064406　T50反1凱基4A購02,
0644,064407　T50反1凱基4C購01,
0644,064409　上銀凱基47購02,
0644,06440P　臺股指元大49售21,
0644,064410　裕隆凱基48購01,
0644,064411　聯電凱基47購03,
0644,064412　國巨凱基48購02,
0644,064413　台積電凱基47購18,
0644,064414　台積電凱基48購06,
0644,064415　智邦凱基49購01,
0644,064417　聯發科凱基48購05,
0644,064419　華新科凱基48購01,
0644,064420　陽明凱基49購02,
0644,064424　嘉澤凱基48購03,
0644,064426　祥碩凱基4C購02,
0644,064431　緯穎凱基47購05,
0644,064438　臺股指凱基4A購11,
0644,06443P　祥碩永豐47售03,
0644,064440　台塑元大48購01,
0644,064443　上銀元大49購03,
0644,064444　上銀元大4A購02,
0644,064446　台積電元大47購06,
0644,064449　聯發科元大49購02,
0644,06444P　上銀國票47售05,
0644,064450　聯發科元大4C購02,
0644,064454　新日興元大49購02,
0644,064464　神達元大4A購02,
0644,06446P　海悅國票47售02,
0644,064471　愛普元大4A購01,
0644,064473　臺股指元大48購16,
0644,064474　臺股指元大4C購04,
0644,064475　臺股指元大4C購05,
0644,06447P　金像電國票47售06,
0644,064481　台化群益47購01,
0644,064483　華新群益49購02,
0644,064484　上銀群益4C購02,
0644,064493　南亞科群益48購03,
0644,064495　全新群益48購01,
0644,064496　盟立群益49購01,
0644,064499　長榮航群益48購04,
0644,06449P　長榮國票47售04,
0645,064506　嘉晶群益47購01,
0645,06450P　嘉澤國票47售02,
0645,06451P　貿聯國票49售01,
0645,064527　瑞昱永豐49購01,
0645,064528　台光電永豐49購01,
0645,064529　威盛永豐47購02,
0645,064530　玉晶光永豐49購01,
0645,064531　玉晶光永豐4C購01,
0645,064532　融程電永豐49購01,
0645,064534　碩天永豐49購01,
0645,064536　瀚宇博永豐47購01,
0645,064537　保瑞永豐47購02,
0645,064538　永道永豐49購01,
0645,064541　鴻海富邦4C購01,
0645,064542　廣宇富邦4A購01,
0645,064543　台積電富邦4C購01,
0645,064544　聯發科富邦4C購01,
0645,064545　材料富邦49購01,
0645,064546　同欣電富邦49購01,
0645,064547　迅得富邦4A購01,
0645,064548　緯穎富邦4A購01,
0645,064549　南電富邦49購01,
0645,06454P　台積電元富4C售04,
0645,064550　世紀鋼富邦47購03,
0645,064551　台塑國票47購04,
0645,064552　台塑國票49購01,
0645,064553　華通國票47購03,
0645,064554　鴻海國票49購02,
0645,064555　廣宇國票47購01,
0645,064557　廣宇國票49購01,
0645,064558　海悅國票49購01,
0645,064559　海悅國票49購02,
0645,06455P　臺股指中信49售09,
0645,064561　全新國票47購01,
0645,064562　全新國票49購01,
0645,064563　立隆電國票47購01,
0645,064564　大立光國票47購01,
0645,064565　晟銘電國票49購01,
0645,064566　奇鋐國票49購01,
0645,064567　偉訓國票47購02,
0645,064568　健鼎國票47購01,
0645,06456P　臺股指中信49售10,
0645,064570　景碩國票49購01,
0645,064572　碩天國票47購03,
0645,064573　六方科國票47購01,
0645,064574　中磊國票49購02,
0645,064575　啟�眥窶�47購02,
0645,064576　至上國票47購02,
0645,064577　上銀元富4C購04,
0645,06457P　臺股指中信49售11,
0645,064580　景碩元富4C購01,
0645,064583　達發元富49購01,
0645,064584　致新元富4C購01,
0645,064587　T50反1中信4C購02,
0645,064588　國巨中信47購01,
0645,064589　威盛中信49購01,
0645,06458P　臺股指中信49售12,
0645,064590　裕民中信47購01,
0645,064592　晟銘電中信47購01,
0645,064594　玉晶光中信47購02,
0645,064595　材料中信47購02,
0645,064596　晶心科中信47購01,
0645,064597　臺股指中信49購07,
0646,064600　臺股指中信49購08,
0646,064603　台塑凱基49購03,
0646,064604　士電凱基49購01,
0646,064606　三陽凱基49購01,
0646,064607　鴻海凱基47購14,
0646,064608　鴻海凱基5C購01,
0646,064611　台積電凱基49購04,
0646,064613　佳世達凱基49購01,
0646,064614　金像電凱基47購04,
0646,064615　威盛凱基47購03,
0646,064618　全新凱基4C購01,
0646,06461P　世芯凱基47售07,
0646,064620　大立光凱基49購01,
0646,064621　嘉晶凱基49購01,
0646,064622　欣興凱基4C購01,
0646,064623　新日興凱基49購01,
0646,064627　世芯凱基49購03,
0646,064631　臺股指凱基4C購04,
0646,064632　廣宇統一4C購01,
0646,064633　廣宇統一4C購02,
0646,064634　廣宇統一54購01,
0646,064635　威盛統一4C購03,
0646,064636　晟銘電統一4C購02,
0646,064637　玉晶光統一4C購05,
0646,064638　玉晶光統一54購01,
0646,06463P　臺股指凱基49售28,
0646,064640　玉晶光統一56購01,
0646,064641　東哥統一4C購01,
0646,064642　台積電台新49購01,
0646,064646　緯創元富4A購01,
0646,06464P　臺股指凱基49售29,
0646,064650　元日2X國泰47購01,
0646,064651　上銀國泰47購01,
0646,064652　鴻海國泰4C購01,
0646,064653　海悅國泰47購01,
0646,064654　南亞科國泰47購01,
0646,064655　大立光國泰47購02,
0646,064656　碩天國泰47購01,
0646,06465P　台積電國泰47售02,
0646,064661　元債2X元大4A購02,
0646,064662　元債2X元大4C購04,
0646,064663　元債2X元大53購02,
0646,064664　元債2X元大54購02,
0646,064668　上銀元大4A購03,
0646,06466P　台積電國泰47售03,
0646,064670　鴻海元大49購02,
0646,064671　台積電元大49購05,
0646,064672　台積電元大4A購06,
0646,06467P　京元電國泰47售03,
0646,064680　聯發科元大49購03,
0646,064691　碩天元大49購03,
0646,06469P　台灣50元大47售11,
0647,064702　愛普元大4A購02,
0647,064703　愛普元大4C購01,
0647,064705　寶齡群益47購01,
0647,064706　上銀群益4A購01,
0647,064709　海悅群益47購03,
0647,06470P　台灣50元大49售04,
0647,064710　華碩群益47購01,
0647,064712　瑞昱群益47購01,
0647,064713　群光群益47購02,
0647,064716　全新群益47購01,
0647,064717　華新科群益49購01,
0647,064725　玉晶光群益49購01,
0647,064726　群創群益49購01,
0647,064727　晶相光群益47購01,
0647,064731　六方科群益49購01,
0647,064735　創意元富4B購01,
0647,064740　緯穎群益49購01,
0647,064741　台灣50富邦49購03,
0647,064742　台灣50富邦49購04,
0647,064743　和碩富邦49購01,
0647,064744　臺股指富邦48購09,
0647,064745　臺股指富邦4A購04,
0647,064746　T50正2中信4A購03,
0647,064747　美債2X中信49購01,
0647,064748　智邦中信48購01,
0647,06474P　智邦群益4C售01,
0647,064750　碩天中信49購01,
0647,064751　世芯中信4A購02,
0647,064752　材料中信4A購02,
0647,064753　滬深2X國票48購01,
0647,064755　美時國票48購02,
0647,064756　金寶國票48購01,
0647,064757　智邦國票48購01,
0647,064758　台光電國票48購01,
0647,064759　威盛國票48購02,
0647,064760　皇昌國票49購01,
0647,064761　晟銘電國票48購02,
0647,064762　玉晶光國票48購01,
0647,064763　迅得國票49購01,
0647,064767　元債2X元富61購01,
0647,064768　美債2X元富49購03,
0647,064769　美債2X元富57購01,
0647,064775　鴻海元富51購02,
0647,064777　立隆電元富4A購01,
0647,064778　陽明元富51購01,
0647,06477P　台灣50富邦49售05,
0647,064780　FBNQ2X元大48購01,
0647,064781　FBNQ2X元大49購01,
0647,064782　FBNQ2X元大4A購01,
0647,064783　元日2X元大51購01,
0647,064784　元日2X元大51購02,
0647,064785　元金2X元大4A購01,
0647,064789　聯電元大48購02,
0647,064791　鴻海元大4B購01,
0647,064793　台積電元大49購06,
0647,064797　金像電元大4B購01,
0647,064799　聯發科元大4A購02,
0647,06479P　台灣50中信49售01,
0648,064806　晟銘電元大4A購01,
0648,06480P　鴻海中信49售02,
0648,064819　祥碩元大49購05,
0648,06481P　台積電中信49售03,
0648,064824　愛普元大4B購01,
0648,064826　愛普元大4B購02,
0648,064827　台塑統一51購01,
0648,064828　華城統一55購01,
0648,064829　華新統一51購01,
0648,06482P　聯發科中信48售02,
0648,064830　台光電統一4C購04,
0648,064831　大立光統一49購05,
0648,064832　敦泰統一51購01,
0648,064833　波力統一51購02,
0648,064835　第一銅永豐4A購01,
0648,064836　裕隆永豐4A購01,
0648,064837　佳世達永豐49購01,
0648,064838　佳世達永豐51購01,
0648,064839　金像電永豐51購01,
0648,06483P　長榮中信49售02,
0648,064841　台光電永豐4A購01,
0648,064842　立隆電永豐4A購01,
0648,064843　華建永豐4A購01,
0648,064844　皇翔永豐4A購01,
0648,064845　上緯控永豐48購01,
0648,064846　虹堡永豐4A購01,
0648,064847　采鈺永豐4A購01,
0648,064848　宏全永豐4A購01,
0648,064851　T50反1國泰48購01,
0648,064852　元債2X國泰48購02,
0648,064853　川湖國泰48購04,
0648,064854　台達電國泰48購01,
0648,064855　鴻準國泰48購01,
0648,064856　立隆電國泰48購01,
0648,064857　陽明國泰48購02,
0648,064858　長榮航國泰48購02,
0648,064859　晶心科國泰48購01,
0648,064860　緯穎國泰4C購01,
0648,064862　元債2X群益51購02,
0648,064864　鴻海群益48購06,
0648,06486P　FBNQ2X元大49售02,
0648,064877　長榮群益48購06,
0648,064880　晟銘電群益4B購01,
0648,064881　智原群益49購01,
0648,064882　欣興群益48購01,
0648,064890　世芯群益4B購02,
0648,064898　汎銓群益48購01,
0649,064901　巨大第一49購01,
0649,064903　元債2X凱基4B購03,
0649,064904　元債2X凱基52購01,
0649,064907　國巨凱基48購03,
0649,064908　台積電凱基49購06,
0649,064909　台積電凱基49購07,
0649,064910　智邦凱基4C購01,
0649,064914　立隆電凱基48購01,
0649,064925　啟�硈肭�48購01,
0649,064926　啟�硈肭�48購02,
0649,064929　啟�硈肭�48購03,
0649,064937　T50反1永豐49購02,
0649,064939　潤隆永豐4A購01,
0649,064940　川湖永豐48購04,
0649,064941　三陽永豐4A購01,
0649,064943　台達電永豐4A購01,
0649,064944　國巨永豐4A購01,
0649,064945　漢唐永豐48購01,
0649,064946　聯發科永豐49購03,
0649,064947　立隆電永豐4A購02,
0649,064948　一詮永豐51購01,
0649,064949　愛山林永豐4C購01,
0649,064950　皇翔永豐48購01,
0649,064952　長榮永豐48購03,
0649,064953　長榮永豐4B購01,
0649,064954　智原永豐48購02,
0649,064955　緯創永豐4A購01,
0649,064956　世芯永豐51購01,
0649,064957　拓凱永豐48購01,
0649,064958　中租永豐48購02,
0649,064959　凌華永豐4A購01,
0649,06495P　台灣50凱基49售04,
0649,064960　帆宣永豐4B購01,
0649,064961　洋基永豐4A購01,
0649,064963　元債2X國泰48購03,
0649,064964　國巨國泰48購01,
0649,064965　台光電國泰48購02,
0649,064966　全新國泰48購01,
0649,064967　華航國泰48購01,
0649,064968　玉晶光國泰48購01,
0649,064969　群創國泰48購02,
0649,06496P　台灣50凱基49售05,
0649,064970　日月光國泰48購01,
0649,064971　祥碩國泰48購02,
0649,064972　亞翔國泰48購02,
0649,064973　愛普國泰48購01,
0649,064974　緯穎國泰4C購02,
0649,064975　台灣50富邦49購06,
0649,064976　滬深2X富邦4A購03,
0649,064977　大同富邦48購01,
0649,064978　智原富邦49購01,
0649,064979　智原富邦4B購01,
0649,06497P　台積電凱基49售05,
0649,064980　緯創富邦48購01,
0649,064982　劍麟元富51購01,
0649,064983　楠梓電元富4A購01,
0649,064984　楠梓電元富4A購02,
0649,064985　佳世達元富4A購01,
0649,064986　仲琦元富49購02,
0649,064987　長榮元富61購01,
0649,064989　昇貿元富4A購01,
0649,064991　宏致元富4A購02,
0649,064993　時碩元富4A購01,
0649,064994　億豐元富51購01,
0649,064996　世紀鋼元富51購01,
0649,064997　中華兆豐49購01,
0649,064998　威盛兆豐51購01,
0649,064999　一詮兆豐49購01,
0649,06499P　中租永豐48售01,
0650,065000　士電國票49購01,
0650,065001　士電國票4B購01,
0650,065003　中華國票48購02,
0650,065004　廣宇國票49購02,
0650,065005　佳世達國票48購01,
0650,065007　漢翔國票48購01,
0650,065008　玉晶光國票49購01,
0650,065009　玉晶光國票49購02,
0650,06500P　FBNQ2X元富51售01,
0650,065011　牧德國票48購01,
0650,065013　材料國票48購01,
0650,065014　乙盛國票48購01,
0650,065018　瀚宇博國票49購01,
0650,065019　瀚宇博國票4B購01,
0650,065020　迅得國票48購02,
0650,065021　世紀鋼國票48購02,
0650,065023　上証2X元大4A購01,
0650,065024　滬深2X元大48購04,
0650,065025　滬深2X元大4A購01,
0650,065026　台塑元大49購03,
0650,065032　鴻海元大49購03,
0650,065036　台積電元大48購11,
0650,065037　台積電元大48購12,
0650,06503P　玉晶光國票48售02,
0650,065040　金像電元大4C購01,
0650,06505P　上証2X元大49售03,
0650,065063　啟�痐舅j49購01,
0650,065065　啟�痐舅j51購01,
0650,06506P　滬深2X元大48售05,
0650,065073　華城統一51購01,
0650,065074　漢翔統一51購01,
0650,065075　晶心科統一57購01,
0650,065076　東哥統一55購01,
0650,065088　世紀鋼統一51購01,
0651,065104　高股息中信4A購01,
0651,065106　S&P500中信48購01,
0651,065107　道瓊指中信48購01,
0651,065108　道瓊2X中信49購01,
0651,065110　廣宇中信48購01,
0651,065111　台積電中信4C購03,
0651,065112　聯強中信49購01,
0651,065113　台光電中信49購01,
0651,065114　長榮中信4A購02,
0651,065117　世芯中信49購01,
0651,065118　亞翔中信48購01,
0651,065120　元債2X群益51購03,
0651,065121　美債2X群益51購01,
0651,065122　台達化群益4A購01,
